city_name,city_ascii,lat,lng,country_name,country_code,iso3,admin_name,capital,population,id,continent
Calgary,Calgary,51.05,-114.0667,Canada,CA,CAN,Alberta,,1306784.0,1124690423,North America
Jacksonville,Jacksonville,30.3322,-81.6749,United States,US,USA,Florida,,1303156.0,1840015031,North America
Milwaukee,Milwaukee,43.0642,-87.9675,United States,US,USA,Wisconsin,,1290221.0,1840003046,North America
Providence,Providence,41.823,-71.4187,United States,US,USA,Rhode Island,admin,1270529.0,1840003289,North America
Nashville,Nashville,36.1715,-86.7842,United States,US,USA,Tennessee,admin,1178679.0,1840036155,North America
Salt Lake City,Salt Lake City,40.7776,-111.9311,United States,US,USA,Utah,admin,1169033.0,1840021383,North America
Edmonton,Edmonton,53.5344,-113.4903,Canada,CA,CAN,Alberta,admin,1151635.0,1124290735,North America
Raleigh,Raleigh,35.8324,-78.6429,United States,US,USA,North Carolina,admin,1150010.0,1840014497,North America
Mexicali,Mexicali,32.6633,-115.4678,Mexico,MX,MEX,Baja California,admin,1102342.0,1484788702,North America
Richmond,Richmond,37.5295,-77.4756,United States,US,USA,Virginia,admin,1081248.0,1840001698,North America
Nezahualcóyotl,Nezahualcoyotl,19.4081,-99.0186,Mexico,MX,MEX,México,minor,1077208.0,1484074285,North America
Ciudad Nezahualcóyotl,Ciudad Nezahualcoyotl,19.4006,-99.0148,Mexico,MX,MEX,México,,1072676.0,1484016661,North America
Ottawa,Ottawa,45.4247,-75.695,Canada,CA,CAN,Ontario,primary,1068821.0,1124399363,North America
Memphis,Memphis,35.1087,-89.9663,United States,US,USA,Tennessee,,1033394.0,1840015457,North America
Morelia,Morelia,19.7683,-101.1894,Mexico,MX,MEX,Michoacán,admin,1002461.0,1484669072,North America
Oklahoma City,Oklahoma City,35.4676,-97.5136,United States,US,USA,Oklahoma,admin,1000207.0,1840020428,North America
Hartford,Hartford,41.7661,-72.6834,United States,US,USA,Connecticut,admin,969171.0,1840004773,North America
Louisville,Louisville,38.1663,-85.6485,United States,US,USA,Kentucky,,965005.0,1840030815,North America
Buffalo,Buffalo,42.9018,-78.8487,United States,US,USA,New York,,949547.0,1840000386,North America
Fort Worth,Fort Worth,32.7817,-97.3474,United States,US,USA,Texas,,941311.0,1840020696,North America
Aguascalientes,Aguascalientes,21.876,-102.296,Mexico,MX,MEX,Aguascalientes,admin,934424.0,1484666646,North America
Chihuahua,Chihuahua,28.6369,-106.0769,Mexico,MX,MEX,Chihuahua,admin,925762.0,1484335603,North America
Bridgeport,Bridgeport,41.1918,-73.1954,United States,US,USA,Connecticut,,921660.0,1840004836,North America
New Orleans,New Orleans,30.0687,-89.9288,United States,US,USA,Louisiana,,918752.0,1840001839,North America
Naucalpan de Juárez,Naucalpan de Juarez,19.4753,-99.2378,Mexico,MX,MEX,México,minor,910407.0,1484850125,North America
Mérida,Merida,20.9667,-89.6167,Mexico,MX,MEX,Yucatán,admin,892363.0,1484396779,North America
Cancún,Cancun,21.1606,-86.8475,Mexico,MX,MEX,Quintana Roo,minor,888797.0,1484010310,North America
Tucson,Tucson,32.1541,-110.8787,United States,US,USA,Arizona,,879871.0,1840022101,North America
Saltillo,Saltillo,25.4231,-100.9919,Mexico,MX,MEX,Coahuila,admin,864431.0,1484107245,North America
El Paso,El Paso,31.8476,-106.43,United States,US,USA,Texas,,862494.0,1840023252,North America
Hermosillo,Hermosillo,29.0989,-110.9542,Mexico,MX,MEX,Sonora,admin,855563.0,1484015319,North America
Omaha,Omaha,41.2627,-96.0529,United States,US,USA,Nebraska,,826161.0,1840009315,North America
McAllen,McAllen,26.2252,-98.2467,United States,US,USA,Texas,,810034.0,1840021024,North America
Culiacán,Culiacan,24.8069,-107.3939,Mexico,MX,MEX,Sinaloa,admin,808416.0,1484516810,North America
Querétaro,Queretaro,20.5875,-100.3928,Mexico,MX,MEX,Querétaro,admin,794789.0,1484604775,North America
Hempstead,Hempstead,40.6629,-73.6089,United States,US,USA,New York,,789177.0,1840005293,North America
Birmingham,Birmingham,33.5279,-86.7971,United States,US,USA,Alabama,,778756.0,1840006507,North America
San Luis Potosí,San Luis Potosi,22.1511,-100.9761,Mexico,MX,MEX,San Luis Potosí,admin,772828.0,1484583620,North America
Albuquerque,Albuquerque,35.1054,-106.6465,United States,US,USA,New Mexico,,767499.0,1840019176,North America
